사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2024-05,1호선,0150,서울역,712,15,"8,896","9,542","14,747","61,682","43,154","122,280","76,947","244,016","74,384","161,393","67,979","91,521","86,138","83,700","97,858","90,821","95,653","90,512","82,610","85,666","110,055","91,115","123,156","91,685","192,593","100,339","231,249","102,586","127,756","72,734","91,062","53,023","94,433","49,173","62,106","33,456","30,783","16,695","3,655","4,788",0,282,0,0,0,0,2024-06-03 09:43:48
2024-05,1호선,0151,시청,106,2,"2,365","5,549","4,256","27,042","8,011","75,120","11,377","197,173","14,346","94,923","17,018","50,196","23,223","48,653","25,811","44,538","33,995","45,588","42,752","36,086","57,371","31,280","66,542","30,176","100,597","31,406","162,280","29,184","65,001","15,501","60,184","11,419","56,661","9,962","34,372","7,292","11,310","4,696",623,"1,156",2,31,0,0,0,0,2024-06-03 09:43:48
2024-05,1호선,0152,종각,154,3,"4,348","5,805","4,534","33,873","7,478","114,857","11,582","263,420","14,513","149,705","20,618","69,141","31,157","66,029","38,284","57,945","48,745","56,482","59,980","46,711","72,247","41,560","87,020","45,197","155,670","50,248","216,051","52,494","97,830","26,910","88,518","14,902","94,549","11,103","66,342","7,991","29,575","5,499","2,053","1,464",0,1,0,0,0,0,2024-06-03 09:43:48
2024-05,1호선,0153,종로3가,194,7,"4,294","2,708","4,106","14,292","6,284","29,101","10,454","69,603","16,096","68,378","22,776","58,796","33,346","69,129","44,970","67,940","52,158","63,757","61,199","55,037","69,116","47,170","76,216","45,767","87,335","43,561","96,245","44,642","60,263","24,477","54,181","14,575","57,716","11,432","44,832","8,986","21,757","5,957","2,307","2,498",2,34,1,1,0,0,2024-06-03 09:43:48
2024-05,1호선,0154,종로5가,53,1,"2,233","3,786","3,435","18,472","6,016","44,110","10,924","96,896","16,848","68,332","26,391","62,552","39,301","65,034","49,052","60,241","57,058","56,729","64,977","52,834","68,625","44,825","73,786","41,343","88,756","37,754","97,336","33,498","50,922","20,595","38,774","11,940","34,722","8,514","22,492","6,320","6,968","4,295",415,"1,280",0,0,0,0,0,0,2024-06-03 09:43:48
2024-05,1호선,0155,동대문,640,13,"12,296","2,248","9,942","8,379","16,314","13,251","21,851","21,824","20,542","24,476","19,073","26,523","20,059","29,298","24,754","27,991","26,602","25,588","27,709","24,847","28,431","23,526","29,100","22,403","27,276","21,995","25,118","22,994","18,137","21,899","16,250","15,290","14,778","14,310","11,310","13,630","5,732","9,845",800,"2,882",4,260,0,0,0,0,2024-06-03 09:43:48
2024-05,1호선,0156,신설동,362,31,"9,390","2,496","10,861","10,733","22,800","27,252","32,936","56,956","23,185","33,756","20,771","22,488","21,922","19,826","24,000","19,740","26,146","20,960","24,524","19,303","25,497","21,423","30,405","23,273","43,771","25,553","53,893","31,470","22,034","23,353","15,401","16,951","14,123","16,676","9,772","14,981","4,668","10,655",441,"3,275",3,5,0,0,0,0,2024-06-03 09:43:48
2024-05,1호선,0157,제기동,522,6,"5,324","2,527","10,179","10,515","22,825","22,797","33,740","41,606","25,698","36,429","27,860","42,456","35,722","46,737","40,951","47,802","43,262","49,128","45,893","45,578","47,653","38,829","47,814","35,024","45,566","30,905","41,262","28,397","23,014","19,858","15,632","12,990","10,545","12,026","6,189","10,343","2,769","6,770",211,"1,769",0,0,0,0,0,0,2024-06-03 09:43:48
2024-05,1호선,0158,청량리(서울시립대입구),"1,177",16,"12,012","3,019","20,086","11,752","51,606","19,194","61,729","41,385","40,596","41,391","36,700","44,378","41,912","51,053","48,749","52,261","50,693","54,530","52,713","53,175","56,184","50,741","61,320","49,254","56,161","51,559","48,516","61,207","29,378","41,429","23,828","25,687","18,772","24,632","12,067","21,290","5,098","13,831",430,"4,556",2,1,0,0,0,0,2024-06-03 09:43:48
